id_conteo,etiqueta,cod_ruta,progresiva,descripcio,distrito,lon,lat
6961,RN 152,0152,36,ACC.A GRAL.ACHA (I) - INT.R.P.105 (D),La Pampa,-64.67609439883877,-37.3856214804517
7414,RN 152,0152,69,INT.R.P.105 (D) - INT.R.N.143 (D) (EL CARANCHO),La Pampa,-65.04033838389435,-37.444910785472906
7200,RN 152,0152,73,INT.R.N.143 (D) (EL CARANCHO) - INT.R.N.232 (I),La Pampa,-65.08340015257717,-37.44967295044824
6314,RN 152,0152,199,INT.R.N.232 (I) - LTE.C/RIO NEGRO (CASA DE PIEDRA),La Pampa,-66.1153268120519,-38.13872115470888
6668,RN 3,0003,105,INT.R.P.41 - SAN MIGUEL DEL MONTE (ENT.),Buenos Aires,-58.81194155249394,-35.393712956406475
6802,RN 3,0003,173,S.M.DEL MONTE (SAL.) - EMP.R.P.61 (I) (P.SUP.),Buenos Aires,-58.98282963335892,-35.931183519940845
6693,RN 3,0003,191,LAS FLORES (SAL.) - EMP.R.P.61 (D) (F.SUP.) Y R.P.30 (I),Buenos Aires,-59.09308263357015,-36.05239861852002
6414,RN 3,0003,200,EMP.R.P.61 (D) Y R.P.30 (I) - ACC.A CACHARI (D),Buenos Aires,-59.1629912848842,-36.109449336518956
6890,RN 3,0003,232,EMP.R.P.61 (D) Y R.P.30 (I) - ACC.A CACHARI (D),Buenos Aires,-59.41109049335848,-36.31586918544645
6351,RN 3,0003,241,EMP.R.P.61 (D) Y R.P.30 (I) - ACC.A CACHARI (D),Buenos Aires,-59.4780930951747,-36.37688811127055
6388,RN 3,0003,272,ACC.A CACHARI (D) - INT.R.P.60 (I),Buenos Aires,-59.6683163052954,-36.60290101736179
7277,RN 3,0003,343,INT.R.N.226 - ACC.A CHILLAR (D),Bah�a Blanca,-59.9522165897623,-37.15935806187654
5989,RN 3,0003,396,ACC.A CHILLAR (D) - INT.R.P.86,Bah�a Blanca,-59.837814565778395,-37.605890719334575
6174,RN 3,0003,484,ADOLFO G.CHAVES - INT.R.N.228 (I)/TRES ARROYOS (ENT.),Bah�a Blanca,-60.25188725305254,-38.29071955658947
7231,RN 3,0003,497,TRES ARROYOS (SAL.) - INT.R.P.85 (D),Bah�a Blanca,-60.32125453122886,-38.38896311435973
5937,RN 3,0003,507,INT.R.P.85 (D) - ACC.A CORONEL DORREGO,Bah�a Blanca,-60.40171752272593,-38.454279439964395
6633,RN 3,0003,632,INT.R.P.78 (I) - ACCESO A PEHUEN - CO (I),Bah�a Blanca,-61.688687391374806,-38.76487514684618
6439,RN 3,0003,640,INT.R.P.78 (I) - ACCESO A PEHUEN - CO (I),Bah�a Blanca,-61.78131309653804,-38.76200522393194
7013,RN 3,0003,646,INT.EX R.N.3 (D) - INT.R.N.249 (I),Bah�a Blanca,-61.85057428943545,-38.76949318087323
7509,RN 3,0003,676,INT.EX R.N.229 (D) - INT.R.N.1V03,Bah�a Blanca,-62.18504595733885,-38.756042746491026
7249,RN 3,0003,680,INT.R.N.1V03 - INT.R.N.252 (A ING.WHITE),Bah�a Blanca,-62.22108438186955,-38.76578404764147
6934,RN 3,0003,696,INT.R.N.1V03 - INT.R.N.33 (D),Bah�a Blanca,-62.335264328910554,-38.707142605104146
7171,RN 3,0003,697,INT.R.N.33 (D) - ACC.A GRAL.CERRI (I),Bah�a Blanca,-62.34497983166177,-38.70301065177493
5859,RN 3,0003,707,ACC.A GRAL.CERRI (I) - INT.R.N.22 (D),Bah�a Blanca,-62.454087755826,-38.70179818553728
6468,RN 3,0003,794,INT.R.N.22 (D) - ACC.A FORTIN MERCEDES (I),Bah�a Blanca,-62.63020428254596,-39.39203693712159
6548,RN 3,0003,833,ACC.A F.MERCEDES (I) - ACCESO A STROEDER,Bah�a Blanca,-62.67110280607533,-39.73716839339081
7212,RN 3,0003,967,FIN AREA URBANA - INT.EX R.N.3 (I),R�o Negro,-63.031578315161156,-40.81732336372139
7483,RN 3,0003,1138,INT.R.N.A025 (I) (A S.A.ESTE) - INT.R.N.251 (D),R�o Negro,-64.98938687518236,-40.71029220649086
6326,RN 3,0003,1142,INT.R.N.251 (D) - INT.R.N.A026 (I) (A SAN ANTONIO OESTE),R�o Negro,-65.02996341626272,-40.72569590150587
7337,RN 3,0003,1268,INT.R.P.305 (D) - LTE.C/CHUBUT,R�o Negro,-65.33151029411617,-41.65493653986721
6813,RN 3,0003,1429,ACC.A PUERTO MADRYN (I) - ACC.A AEROPUERTO (I),Chubut,-65.20162141033936,-43.051191978127804
