anio,grupo,producto,tipo,fuente,factor_nacional
2012,granos,sorgo,medido ambos,matriz origen-destino publicada,
2012,granos,girasol,medido ambos,matriz origen-destino publicada,
2012,granos,varios 1,medido ambos,matriz origen-destino publicada,
2012,granos,arroz,medido ambos,matriz origen-destino publicada,
2012,granos,cebada,medido ambos,matriz origen-destino publicada,
2012,granos,maiz,medido ambos,matriz origen-destino publicada,
2012,granos,soja,medido ambos,matriz origen-destino publicada,
2012,granos,trigo,medido ambos,matriz origen-destino publicada,
2012,granos,varios 2,medido ambos,matriz origen-destino publicada,
2012,carnes,bovinos,medido ambos,matriz origen-destino publicada,
2012,carnes,caprinos,medido ambos,matriz origen-destino publicada,
2012,carnes,ovinos,medido ambos,matriz origen-destino publicada,
2012,carnes,avicola,medido ambos,matriz origen-destino publicada,
2012,carnes,porcino,medido ambos,matriz origen-destino publicada,
2012,mineria,arena para construc.,medido ambos,matriz origen-destino publicada,
2012,mineria,arena silicea,medido ambos,matriz origen-destino publicada,
2012,mineria,canto rodado,medido ambos,matriz origen-destino publicada,
2012,mineria,triturados petreos,medido ambos,matriz origen-destino publicada,
2012,mineria,dolomita triturada,medido ambos,matriz origen-destino publicada,
2012,mineria,carbon mineral,medido ambos,matriz origen-destino publicada,
2012,mineria,turba,medido ambos,matriz origen-destino publicada,
2012,mineria,amianto,medido ambos,matriz origen-destino publicada,
2012,mineria,baritina,medido ambos,matriz origen-destino publicada,
2012,mineria,cuarzo,medido ambos,matriz origen-destino publicada,
2012,mineria,diatomita,medido ambos,matriz origen-destino publicada,
2012,mineria,feldespato,medido ambos,matriz origen-destino publicada,
2012,mineria,granulado volcanico,medido ambos,matriz origen-destino publicada,
2012,mineria,mica,medido ambos,matriz origen-destino publicada,
2012,mineria,perlita,medido ambos,matriz origen-destino publicada,
2012,mineria,piedra pomez,medido ambos,matriz origen-destino publicada,
2012,mineria,puzolana,medido ambos,matriz origen-destino publicada,
2012,mineria,talco,medido ambos,matriz origen-destino publicada,
2012,mineria,toba,medido ambos,matriz origen-destino publicada,
2012,mineria,tosca,medido ambos,matriz origen-destino publicada,
2012,mineria,vermiculita,medido ambos,matriz origen-destino publicada,
2012,mineria,arcillas,medido ambos,matriz origen-destino publicada,
2012,mineria,bentonita,medido ambos,matriz origen-destino publicada,
2012,mineria,caolin,medido ambos,matriz origen-destino publicada,
2012,mineria,pirofilita,medido ambos,matriz origen-destino publicada,
2012,mineria,cadmio,medido ambos,matriz origen-destino publicada,
2012,mineria,cinc,medido ambos,matriz origen-destino publicada,
2012,mineria,mercurio,medido ambos,matriz origen-destino publicada,
2012,mineria,plomo,medido ambos,matriz origen-destino publicada,
2012,mineria,caliza,medido ambos,matriz origen-destino publicada,
2012,mineria,conchilla,medido ambos,matriz origen-destino publicada,
2012,mineria,yeso,medido ambos,matriz origen-destino publicada,
2012,mineria,cuarcita,medido ambos,matriz origen-destino publicada,
2012,mineria,dolomita,medido ambos,matriz origen-destino publicada,
2012,mineria,granito,medido ambos,matriz origen-destino publicada,
2012,mineria,marmol aragonita,medido ambos,matriz origen-destino publicada,
2012,mineria,marmol,medido ambos,matriz origen-destino publicada,
2012,mineria,marmol onix,medido ambos,matriz origen-destino publicada,
2012,mineria,piedra laja,medido ambos,matriz origen-destino publicada,
2012,mineria,porfido,medido ambos,matriz origen-destino publicada,
2012,mineria,serpentina,medido ambos,matriz origen-destino publicada,
2012,mineria,travertino,medido ambos,matriz origen-destino publicada,
2012,mineria,sal comun,medido ambos,matriz origen-destino publicada,
2012,mineria,sal de roca,medido ambos,matriz origen-destino publicada,
2012,regionales,azucar,medido ambos,matriz origen-destino publicada,
2012,regionales,ciruelas,medido ambos,matriz origen-destino publicada,
2012,regionales,duraznos,medido ambos,matriz origen-destino publicada,
2012,regionales,lana,medido ambos,matriz origen-destino publicada,
2012,regionales,limon,medido ambos,matriz origen-destino publicada,
2012,regionales,mandarina,medido ambos,matriz origen-destino publicada,
