comparacion,etiqueta,n_tramos,n_con_flujo,cuota_mediana,cuota_q25,cuota_q75,spearman,n_imposibles
oficial 2018 vs TMDA 2017,RN 40,72,52,0.09688134208001915,0.04364034393835616,0.3545768957474687,0.058228439790406365,11
oficial 2018 vs TMDA 2017,RN 9,46,44,0.1898364098387108,0.05414321468189992,0.3005675984493582,0.8609444826829241,1
oficial 2018 vs TMDA 2017,RN 3,40,38,0.19558762790752815,0.06273328221472255,0.41321128018047404,0.4079316488809229,1
oficial 2018 vs TMDA 2017,RN 12,29,28,0.08748856775209812,0.060145426547994235,0.13975728094349496,0.7700440480145008,0
oficial 2018 vs TMDA 2017,RN 34,26,25,0.40510816045316544,0.23186079156903186,0.5622572701751763,0.2690825180672057,0
oficial 2018 vs TMDA 2017,RN 38,25,25,0.1078505551743462,0.05936356079188918,0.13948635626743744,0.3366738891940754,0
oficial 2018 vs TMDA 2017,RN 14,24,22,0.2971313797760165,0.22801954572381522,0.4052926471991595,0.8511055082192361,0
oficial 2018 vs TMDA 2017,RN 7,24,22,0.19669185898263303,0.04835574960146346,0.31094097304473745,0.2174041870528908,0
oficial 2018 vs TMDA 2017,RN 33,19,19,0.3408444723023146,0.22183731265504703,0.4310382360290088,0.8583042632716213,2
oficial 2018 vs TMDA 2017,RN 8,19,19,0.06871486233165104,0.054864674493657686,0.10806313582436942,-0.061172616671486275,0
oficial 2018 vs TMDA 2017,RN 188,15,12,0.25221170256098374,0.15168126385076447,0.3179494963823744,0.7602719110756808,0
oficial 2018 vs TMDA 2017,RN 226,15,15,0.18160464982648403,0.09534388442102587,0.2645055116563056,0.12421649704628435,0
oficial 2018 vs TMDA 2017,RN 60,15,14,0.0471363567713477,0.040788715329567016,0.9897498037883492,0.26075694064040705,4
oficial 2018 vs TMDA 2017,RN 5,13,13,0.09886846796803654,0.07861191202292424,0.11057202544614908,0.5647382920110192,0
oficial 2018 vs TMDA 2017,RN 22,12,12,0.12905460521831713,0.06278501167149299,0.27179004334737605,0.19998308557542535,0
oficial 2018 vs TMDA 2017,RN 35,12,12,0.3442091260147184,0.2809729514012657,0.4922117873487468,0.3386290785735081,0
oficial 2018 vs TMDA 2017,RN 11,11,9,0.1426922486188971,0.06611587251996502,0.15218715103174071,0.7235680511449363,0
oficial 2018 vs TMDA 2017,RN 143,11,11,0.16515527413362172,0.1173602308642224,2.1073801931898237,0.7454157141451921,4
oficial 2018 vs TMDA 2017,RN 157,10,10,0.12436891868411612,0.09772741548548597,0.2516265585020775,0.0822730338093269,0
oficial 2018 vs TMDA 2017,RN 20,10,10,0.18525487117162617,0.16715405273076922,0.5425663642735736,-0.1562530518472224,0
oficial 2018 vs TMDA 2017,RN 95,10,10,0.5781699626027398,0.09182355585459734,0.995818568335409,-0.3066540351074912,2
oficial 2018 vs TMDA 2017,RN 150,8,5,0.3163785258143075,0.3163785258143075,0.3884242368368618,-0.6882472016116853,0
oficial 2018 vs TMDA 2017,RN 16,8,8,0.07328973775265823,0.058548666563681476,0.12166928097841764,0.7784570702436183,0
oficial 2018 vs TMDA 2017,RN 19,8,8,0.14680430635736053,0.11699148150447908,0.16883154432764297,-0.15663787513136096,0
oficial 2018 vs TMDA 2017,RN 36,8,8,0.04616303642313546,0.04488479909651532,0.06366820270012927,-0.14484973648295518,0
oficial 2018 vs TMDA 2017,RN 205,6,6,0.0409418490333768,0.028815118604957807,0.062194141408524625,0.7714285714285715,0
oficial 2018 vs TMDA 2017,RN 127,5,5,0.5120936645925238,0.23416629440440737,0.590818193484824,-0.6668859288553503,0
oficial 2018 vs TMDA 2017,RN 152,5,5,1.5051826480680206,0.3821236422514928,2.215751106293025,0.9176629354822471,3
oficial 2018 vs TMDA 2017,RN 23,5,5,0.03762714200913242,0.011303731518217473,0.05894185116807821,-0.20519567041703082,0
oficial 2018 vs TMDA 2017,RN 79,5,5,0.0930117513554434,0.08919130034782607,0.2448964275342466,0.37851664930511264,0
oficial 2018 vs TMDA 2017,RN 89,5,5,0.23867041264772032,0.13219030636066242,0.45571995039869145,0.11180339887498947,0
oficial 2018 vs TMDA 2017,RN 98,5,5,0.08012835617742986,0.08012835617742986,0.11339639214667303,0.8029550685469662,0
oficial 2018 vs TMDA 2017,RN 118,4,4,0.0047632992678948195,0.0032477040462919222,0.007580616517808218,,0
oficial 2018 vs TMDA 2017,RN 151,4,4,0.03884961160861056,0.031775659425162146,0.07424113754800164,-0.3333333333333334,0
oficial 2018 vs TMDA 2017,RN 18,4,4,0.06950115258311118,0.061446496885003025,0.08150214521984733,0.632455532033676,0
oficial 2018 vs TMDA 2017,RN 1S40,4,4,2.6698753963470323,1.804071836519692,3.468274157260274,0.9486832980505139,3
oficial 2018 vs TMDA 2017,RN 64,4,3,0.12095506043287671,0.10393063541437728,0.2675260650427967,0.8660254037844387,0
oficial 2018 vs TMDA 2017,RN 81,4,4,0.46711560620217285,0.3351270607262636,0.5217405502208313,,0
oficial 2018 vs TMDA 2017,RN 119,3,3,0.12264205509413992,0.11681152743593398,0.13786349068774434,0.0,0
oficial 2018 vs TMDA 2017,RN 141,3,3,0.25504801429422275,0.24662978553523923,0.29675352150432954,0.5,0
oficial 2018 vs TMDA 2017,RN 158,3,3,0.11060348511179849,0.09763147142584681,0.12775595876379608,0.8660254037844387,0
oficial 2018 vs TMDA 2017,RN 237,3,3,0.14216418009062173,0.09588601787139782,0.16413763776290835,-0.8660254037844387,0
oficial 2018 vs TMDA 2017,RN 250,3,3,0.059431790561201944,0.057198895597381796,0.26905686751132984,0.5,0
oficial 2018 vs TMDA 2017,RN 251,3,3,0.5055732437195809,0.4751895103065243,0.5928748325307047,1.0,0
propia 2016 vs TMDA 2016,RN 40,69,38,0.16243772600188028,0.06201137489692368,0.4500273125483619,0.5839644483013161,1
propia 2016 vs TMDA 2016,RN 9,45,41,0.13679591490210283,0.039023130166729036,0.24082230365547555,0.8093535704672491,0
propia 2016 vs TMDA 2016,RN 3,40,38,0.2554451868888922,0.07806042334452742,0.48860449310340476,0.39892628784720174,2
propia 2016 vs TMDA 2016,RN 12,29,26,0.11618803969465608,0.05107308565673456,0.19785389359128372,0.5822200749974429,2
propia 2016 vs TMDA 2016,RN 34,26,25,0.4262926762830718,0.11681771355806582,0.5948369759042753,0.44247453916408,0
propia 2016 vs TMDA 2016,RN 38,26,26,0.11445807651922568,0.060162557800718136,0.1975396123230127,0.5440069769203981,1
propia 2016 vs TMDA 2016,RN 14,24,21,0.36350698476086646,0.2799678309146616,0.4773590157156628,0.865314656732897,0
propia 2016 vs TMDA 2016,RN 7,24,22,0.19251812151246722,0.1077517796262892,0.29134646354437277,0.21951931435235855,0
propia 2016 vs TMDA 2016,RN 33,19,18,0.3917823892798609,0.23229227582565154,0.5247269184574075,0.1508062157570856,3
propia 2016 vs TMDA 2016,RN 8,19,18,0.09111875763172253,0.07322660540661494,0.2734992869819507,-0.12752805584449464,3
propia 2016 vs TMDA 2016,RN 226,15,15,0.3285489821334643,0.13495196200470672,0.4963394305582104,0.14674298322068993,2
propia 2016 vs TMDA 2016,RN 60,15,14,0.38453463936929405,0.08762350442752884,0.42670345914514324,0.9522899130643592,0
propia 2016 vs TMDA 2016,RN 5,13,13,0.15141579951526177,0.11389252034232199,0.15971078165564334,0.4008264462809918,0
propia 2016 vs TMDA 2016,RN 188,12,11,0.18652981596841073,0.16262154279058472,0.32442316029100404,0.46363636363636374,1
propia 2016 vs TMDA 2016,RN 20,12,12,0.3202085076138048,0.10165115990704476,0.698683046244068,0.30659974932951994,2
propia 2016 vs TMDA 2016,RN 22,12,12,0.2070831524679944,0.0863995754484806,0.28989574112943295,0.4182783261088412,2
propia 2016 vs TMDA 2016,RN 35,12,12,0.32943281431786897,0.2559605989336303,0.3962217521085254,0.2671357376829574,0
propia 2016 vs TMDA 2016,RN 11,11,9,0.10536214431478734,0.057396384543999174,0.1600694115551577,0.23529411764705885,0
propia 2016 vs TMDA 2016,RN 143,11,9,0.2874788115399008,0.1854728613891738,0.49108895044627043,0.6437827532807558,1
propia 2016 vs TMDA 2016,RN 157,10,10,0.43484540899951146,0.339673088584165,0.4450470542921314,-0.34969983257034737,0
propia 2016 vs TMDA 2016,RN 95,10,10,0.2354194953307211,0.1137720389741233,0.4018806014288597,0.16463720699615814,1
propia 2016 vs TMDA 2016,RN 36,9,9,0.13390101811867267,0.08412754103797251,407.2778712274631,0.7575256780434908,3
propia 2016 vs TMDA 2016,RN 16,8,8,0.15240432521078548,0.10954263272213746,0.20892562215267046,0.7563225565351133,0
propia 2016 vs TMDA 2016,RN 19,8,8,0.19861829801202047,0.11833324571730901,0.21428088625606562,-0.5333431285220599,1
propia 2016 vs TMDA 2016,RN 150,7,3,0.6497849340630613,0.5598687996463878,0.7109250134702245,0.5000000000000001,0
propia 2016 vs TMDA 2016,RN 205,7,7,0.06556155997407376,0.04736238828750146,0.10621947883748581,0.7142857142857144,0
